Countries,2023 Jan,2022 Dec,2022 Nov,2022 Oct,2022 Sep,2022 Aug,2022 Jul,2022 Jun,2022 May,2022 Apr,2022 Mar,2022 Feb,2022 Jan,2021 Dec,2021 Nov,2021 Oct,2021 Sep,2021 Aug,2021 Jul,2021 Jun,2021 May,2021 Apr,2021 Mar,2021 Feb,2021 Jan,2020 Dec,2020 Nov,2020 Oct,2020 Sep,2020 Aug,2020 Jul,2020 Jun,2020 May,2020 Apr,2020 Mar,2020 Feb,2020 Jan
  Jordan ,"9,296","8,265","7,262","3,020","8,904","3,782","5,333","8,573","8,687","4,772","4,639","2,531","6,037","7,155","2,381","5,937","7,547","7,314","8,377","3,585","27,108","3,936","9,865","6,639","4,037","4,383","4,367","2,624","3,093","4,904","8,999","1,829","1,171","1,144","3,326","3,582","2,477"
  Kuwait ,"241,402",639,"54,562","52,798","16,848","56,351","117,344","2,626","158,838","21,012","105,396","3,188","18,171","30,819","58,308","146,002","2,001","22,511","3,250","2,742","29,661","126,815","39,467","87,132","203,881","84,802","136,458","164,900","89,707","232,601","402,610","29,340","159,144","75,654","118,280","180,975","402,328"
  Lebanon ,170,332,578,449,303,337,475,92,79,50,188,121,121,515,173,204,56,200,92,143,98,52,100,244,13,104,288,75,124,26,"3,032",145,214,91,191,192,176
  Oman ,"27,035","72,624","60,005","108,470","42,137","73,156","71,377","129,614","32,226","63,758","28,076","26,302","44,336","32,205","68,246","18,000","70,602","111,537","27,263","134,736","45,781","52,260","95,125","3,362","39,721","114,288","17,440","13,784","42,576","13,687","79,909","2,561","2,214","5,321","26,038","13,579","57,540"
  Qatar ,"616,918","640,131","476,149","528,921","766,915","827,737","692,186","651,773","557,744","567,212","304,196","599,833","429,490","665,939","795,068","603,117","671,183","561,152","819,056","509,496","310,420","431,580","542,262","466,001","347,096","205,269","367,074","255,004","235,402","256,288","232,299","292,131","263,401","394,261","655,950","1,012,134","699,137"
  Saudi Arabia ,"806,024","801,168","866,619","1,010,564","954,922","1,081,996","1,003,667","946,997","1,441,814","767,599","1,701,009","1,040,074","920,723","1,061,601","684,635","634,685","455,760","662,959","801,349","1,021,200","402,063","489,029","794,911","538,287","740,428","718,909","499,098","476,869","1,127,040","648,954","455,710","405,429","425,003","432,733","435,911","673,261","669,964"
  Syrian Arab Republic ,0,0,0,3,17,0,0,32,0,0,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,87,0,0,0,7,0,1,0,0,1,0,4
  United Arab Emirates ,"1,044,573","1,212,293","1,205,738","1,642,118","2,315,066","1,629,843","2,225,339","1,812,158","2,110,593","2,076,593","2,307,579","1,486,825","1,619,973","2,186,761","1,644,999","1,901,779","1,800,164","1,450,713","1,438,091","1,125,208","1,287,523","1,142,398","1,142,123","1,007,019","716,893","899,563","374,463","666,893","1,798,522","601,540","384,810","318,246","453,294","526,619","635,944","1,134,202","816,041"
  Yemen ,173,629,106,265,48,151,499,245,618,341,172,454,2,687,611,"1,802","1,016",134,958,17,486,116,4,464,0,855,292,"2,194","1,142","35,145",67,557,306,87,240,145,70
  Yemen Democratic ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Canada ,"208,757","211,232","224,872","213,606","241,035","599,499","284,927","215,581","200,837","204,489","253,586","197,815","227,718","208,080","174,473","160,527","206,693","190,389","135,866","156,569","161,662","154,303","158,223","148,067","143,758","142,990","140,967","153,105","93,748","149,755","186,771","178,313","148,801","248,425","228,461","200,223","568,765"
  Puerto Rico ,"7,337","8,375","16,518","5,480","9,831","14,898","16,567","9,667","12,158","16,699","8,633","14,619","7,191","9,797","7,702","8,677","7,255","9,454","10,550","13,472","10,596","14,897","12,719","6,070","7,893","15,952","8,948","18,630","9,590","3,825","7,209","7,998","8,257","13,656","19,178","9,634","8,214"
  United States ,"5,241,875","5,314,219","5,832,049","6,163,496","6,537,215","6,575,058","6,158,055","6,219,803","6,889,723","6,441,534","5,939,553","4,444,812","4,451,719","5,184,086","4,928,752","4,870,712","4,593,607","4,826,352","4,579,501","4,418,947","4,182,550","5,035,984","4,466,412","3,573,937","3,688,415","3,794,181","3,535,956","4,161,758","3,906,548","3,476,117","3,815,609","3,825,437","3,554,966","4,408,653","5,001,588","4,398,257","4,497,881"
  Argentina ,"8,284","11,273","6,775","14,908","13,163","11,801","10,327","11,559","16,397","6,341","6,657","8,302","9,694","11,374","6,754","4,130","6,413","3,670","5,193","5,036","4,964","8,657","3,075","2,926","21,986","6,324","29,741","5,067","3,643","5,407","33,559","4,426","5,059","6,489","16,477","3,057","6,161"
  Brazil ,"517,014","1,004,171","1,132,945","917,460","833,293","968,690","928,891","1,070,887","954,871","836,482","516,453","458,528","794,992","340,507","660,963","671,501","491,662","464,768","550,466","481,364","459,091","572,109","328,849","173,894","283,000","304,498","302,065","153,734","510,784","204,266","190,282","418,057","288,817","237,606","310,852","331,188","404,695"
  Chile ,"14,595","16,649","13,831","11,567","29,599","75,458","20,111","11,018","15,492","9,497","17,065","36,587","8,949","14,408","5,380","7,369","4,344","3,087","18,933","8,616","7,156","37,332","9,915","6,544","7,883","6,539","4,778","5,624","6,447","4,721","5,680","6,004","4,981","4,545","6,774","7,339","7,693"
  Colombia ,"2,180","7,915","4,436","2,200","10,518","9,806","1,927","84,394","50,735","16,128","29,549","5,529","87,646","6,265","36,366","2,220","39,770","2,326","49,029","45,251","1,941","5,433","1,735","4,584","3,456","114,772","5,337","2,535","1,522",667,"8,215","1,468","8,573","2,934","4,391",886,"33,246"
