Countries,2023 Jan,2022 Dec,2022 Nov,2022 Oct,2022 Sep,2022 Aug,2022 Jul,2022 Jun,2022 May,2022 Apr,2022 Mar,2022 Feb,2022 Jan,2021 Dec,2021 Nov,2021 Oct,2021 Sep,2021 Aug,2021 Jul,2021 Jun,2021 May,2021 Apr,2021 Mar,2021 Feb,2021 Jan,2020 Dec,2020 Nov,2020 Oct,2020 Sep,2020 Aug,2020 Jul,2020 Jun,2020 May,2020 Apr,2020 Mar,2020 Feb,2020 Jan
  Republic Of Korea ,"2,099,741","2,865,718","2,165,065","2,330,102","2,896,148","2,412,712","2,397,646","2,915,966","2,146,717","2,343,752","2,390,691","1,725,244","2,139,479","2,446,975","2,260,605","2,267,930","2,086,562","2,213,401","2,203,509","2,429,471","1,945,102","2,431,299","2,385,768","1,831,886","1,941,984","2,170,792","1,791,427","1,813,083","1,848,431","1,896,800","2,083,189","2,112,428","1,483,638","1,646,735","2,203,105","2,064,426","2,003,359"
  Taiwan ,"2,302,701","2,768,573","2,667,565","3,034,201","2,875,136","2,621,213","3,301,359","3,102,858","2,832,744","3,158,164","3,112,130","2,484,476","2,849,971","2,942,434","3,012,214","2,737,217","2,484,410","2,978,902","2,677,135","2,374,868","2,356,025","2,431,138","2,661,713","2,207,809","2,422,816","2,729,473","2,191,565","2,127,798","2,200,083","2,029,872","2,076,340","2,016,863","1,723,954","2,063,432","2,122,623","1,972,685","1,879,918"
  Macau ,"22,564","29,319","42,902","21,959","18,310","26,644","16,838","19,416","30,190","24,195","27,876","36,011","20,555","41,104","33,318","17,312","29,593","41,994","23,981","19,661","22,856","13,294","23,576","14,679","14,456","32,529","35,036","18,680","23,349","14,557","11,030","10,509","6,912","8,588","10,042","7,233","19,517"
  Mainland China ,"6,018,789","6,374,198","6,773,005","7,810,503","7,133,642","7,548,001","7,792,074","7,516,364","6,757,831","7,481,265","8,912,350","6,929,035","7,163,479","9,215,862","8,281,345","8,461,516","8,785,105","8,134,968","7,991,895","7,300,460","6,720,024","7,838,848","7,270,148","5,255,659","5,682,689","7,090,834","6,852,887","6,992,713","6,561,515","7,970,167","5,395,714","5,603,145","5,080,433","5,038,157","5,255,263","3,910,570","5,091,217"
  Afghanistan ,60,214,272,345,453,232,240,138,101,72,179,411,527,510,281,198,321,419,738,"1,996","1,621","1,190","3,687","1,614",501,877,648,967,"2,796",993,"2,656","1,752","3,709","1,771","5,293","2,199","3,606"
  Bangladesh ,"272,855","294,037","339,772","465,380","547,112","534,857","555,989","857,101","577,713","623,837","774,546","674,445","406,728","386,488","446,226","598,866","538,925","357,449","347,409","429,289","356,064","295,743","428,361","305,629","375,673","355,909","321,464","294,936","312,865","244,705","237,348","206,126","120,441","117,469","346,749","350,375","355,011"
  India ,"1,421,944","1,703,023","1,467,219","1,395,949","1,817,817","1,593,916","1,637,019","1,595,699","1,441,178","1,671,860","1,733,946","1,470,299","1,633,973","1,617,485","1,616,145","1,541,294","1,610,231","1,376,658","1,274,749","1,116,307","1,054,895","1,497,639","1,658,554","1,296,692","1,285,348","1,482,607","1,230,868","1,153,001","1,242,513","1,094,267","845,562","800,876","573,786","463,499","1,056,660","1,363,734","1,343,660"
"  Maldives, Republic Of ","20,329","27,931","34,754","21,845","30,156","32,331","18,970","28,239","15,855","22,845","24,635","21,129","28,876","32,943","20,744","20,992","20,185","22,772","19,342","22,062","19,203","16,575","32,655","15,425","19,611","16,375","16,589","16,530","14,887","12,826","16,892","13,345","9,139","12,440","22,755","30,099","43,551"
  Nepal ,"28,653","18,692","12,037","13,355","15,734","16,029","18,883","17,375","18,189","15,405","20,211","17,047","27,163","22,264","23,842","15,821","18,916","30,275","17,649","11,612","10,621","25,788","20,350","16,796","19,654","18,460","14,704","12,596","12,353","12,337","19,247","7,341","3,273","1,619","13,956","26,784","24,515"
  Pakistan ,"148,196","183,923","111,265","66,674","226,902","132,621","313,964","154,897","96,075","124,061","136,729","104,044","109,592","113,172","134,061","347,067","144,473","188,100","134,201","112,620","132,392","142,533","94,380","80,077","114,767","85,678","97,269","81,263","66,813","133,325","73,067","72,764","58,553","47,275","73,769","171,549","175,338"
  Sri Lanka ,"115,732","134,049","133,349","93,118","191,920","121,017","73,049","54,396","94,567","94,393","145,333","136,719","156,549","152,800","193,618","194,731","157,467","161,009","77,275","82,255","93,560","197,683","105,115","85,550","72,761","80,989","141,900","117,123","140,705","120,872","150,201","115,818","40,574","45,174","128,041","135,836","121,200"
  Bahrain ,"43,263","24,163","21,034","121,596","41,003","48,485","10,775","59,388","10,005","21,131","35,338","19,719","29,439","44,255","6,233","9,780","7,811","78,137","14,613","15,366","4,758","7,632","10,704","7,928","5,873","6,783","9,353","6,255","5,994","5,882","5,658","6,077","7,540","9,007","20,071","27,903","9,776"
