Consumer Items,Date,Values
White Pomfret (Per Kilogram) (Dollar),2016 May,27.1
White Sugar (Per 2 Kilogram) (Dollar),2016 May,3.2
"Whole Chicken, Chilled (Per Kilogram) (Dollar)",2016 May,6.3
Wholemeal Bread (Per 400 Gram) (Dollar),2016 May,2
Aerated Soft Drinks (Per 4 Cans) (Dollar),2016 Apr,2.6
Apple (Each) (Dollar),2016 Apr,0.4
Bananas (Per Kilogram) (Dollar),2016 Apr,2.3
"Beef, Chilled (Per Kilogram) (Dollar)",2016 Apr,24
Beer (Per 6 Cans) (Dollar),2016 Apr,17.2
Broccoli (Per Kilogram) (Dollar),2016 Apr,6.9
Cabbage (Per Kilogram) (Dollar),2016 Apr,2.4
Carrots (Per Kilogram) (Dollar),2016 Apr,2.1
Cheese (Per 12 Slices) (Dollar),2016 Apr,4.6
Chicken Nasi Briyani (Per Plate) (Dollar),2016 Apr,5.3
Chicken Rice (Per Plate) (Dollar),2016 Apr,3.2
"Chicken Wing, Chilled (Per Kilogram) (Dollar)",2016 Apr,8.1
Chinese Kale (Kailan) (Per Kilogram) (Dollar),2016 Apr,5.9
Cigarettes (Per Pack) (Dollar),2016 Apr,12
Cod Fish (Per Kilogram) (Dollar),2016 Apr,55.9
Coffee/Tea With Milk (Per Cup) (Dollar),2016 Apr,1.1
Coffee/Tea Without Milk (Per Cup) (Dollar),2016 Apr,1
Cooking Oil (Per 2 Kilogram) (Dollar),2016 Apr,6.1
Diesel (Per Litre) (Dollar),2016 Apr,1
"Duck, Chilled (Per Kilogram) (Dollar)",2016 Apr,7
Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),2016 Apr,3.2
Fishball Noodle (Per Bowl) (Dollar),2016 Apr,3.3
Flowery Grouper (Per Kilogram) (Dollar),2016 Apr,13.7
Fresh Milk (Per Litre) (Dollar),2016 Apr,2.8
Fried Carrot Cake (Per Plate) (Dollar),2016 Apr,2.9
Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),2016 Apr,6.7
Golden Snapper (Per Kilogram) (Dollar),2016 Apr,17.5
Grapes (Per Kilogram) (Dollar),2016 Apr,9.2
Hen Eggs (Per 10) (Dollar),2016 Apr,2.2
Ice Kachang (Per Bowl) (Dollar),2016 Apr,1.9
Infant Milk Powder (Per 100 Gram) (Dollar),2016 Apr,6.3
Instant Coffee (Per 200 Gram) (Dollar),2016 Apr,10.4
Instant Noodles (Per 5 Packets) (Dollar),2016 Apr,2.3
"Lean Pork, Chilled (Per Kilogram) (Dollar)",2016 Apr,13.7
"Lean Pork, Frozen (Per 500 Gram) (Dollar)",2016 Apr,4.1
Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar),2016 Apr,2.3
Medium Prawns (Per Kilogram) (Dollar),2016 Apr,18.2
Mee Rebus (Per Bowl) (Dollar),2016 Apr,3.1
"Mutton, Chilled (Per Kilogram) (Dollar)",2016 Apr,18.3
Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),2016 Apr,2.5
Orange (Each) (Dollar),2016 Apr,0.4
Ordinary White Bread (Per 400 Gram) (Dollar),2016 Apr,1.6
Papaya (Per Kilogram) (Dollar),2016 Apr,1.9
Pear (Each) (Dollar),2016 Apr,1
"Petrol, 92 Octane (Per Litre) (Dollar)",2016 Apr,1.7
"Petrol, 95 Octane (Per Litre) (Dollar)",2016 Apr,1.8
"Petrol, 98 Octane (Per Litre) (Dollar)",2016 Apr,2.1
"Pork Rib Bones, Chilled (Per Kilogram) (Dollar)",2016 Apr,17
"Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)",2016 Apr,4.5
Potatoes (Per Kilogram) (Dollar),2016 Apr,2
Premium Thai Rice (Per 5 Kilogram) (Dollar),2016 Apr,13.4
Roti Prata (Plain) (Per Piece) (Dollar),2016 Apr,1
Salmon (Per Kilogram) (Dollar),2016 Apr,27.6
Sea Bass (Per Kilogram) (Dollar),2016 Apr,12.6
Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),2016 Apr,8.6
Small Mustard (Chye Sim) (Per Kilogram) (Dollar),2016 Apr,3.2
Small Prawns (Per Kilogram) (Dollar),2016 Apr,13.2
Spanish Mackerel (Batang) (Per Kilogram) (Dollar),2016 Apr,10.5
Spinach (Bayam) (Per Kilogram) (Dollar),2016 Apr,2.8
Squids (Per Kilogram) (Dollar),2016 Apr,14.6
"Streaky Pork, Chilled (Per Kilogram) (Dollar)",2016 Apr,15.6
Threadfin (Kurau) (Per Kilogram) (Dollar),2016 Apr,52.8
Tomatoes (Per Kilogram) (Dollar),2016 Apr,2.2
Vitamin Enriched Bread (Per 400 Gram) (Dollar),2016 Apr,1.9
Watermelon (Per Kilogram) (Dollar),2016 Apr,1.5
White Pomfret (Per Kilogram) (Dollar),2016 Apr,26.1
White Sugar (Per 2 Kilogram) (Dollar),2016 Apr,3.2
"Whole Chicken, Chilled (Per Kilogram) (Dollar)",2016 Apr,6.2
Wholemeal Bread (Per 400 Gram) (Dollar),2016 Apr,2
Aerated Soft Drinks (Per 4 Cans) (Dollar),2016 Mar,2.6
Apple (Each) (Dollar),2016 Mar,0.4
Bananas (Per Kilogram) (Dollar),2016 Mar,2.3
"Beef, Chilled (Per Kilogram) (Dollar)",2016 Mar,23.6
Beer (Per 6 Cans) (Dollar),2016 Mar,17.5
Broccoli (Per Kilogram) (Dollar),2016 Mar,6.9
Cabbage (Per Kilogram) (Dollar),2016 Mar,2.4
Carrots (Per Kilogram) (Dollar),2016 Mar,2.1
Cheese (Per 12 Slices) (Dollar),2016 Mar,4.6
Chicken Nasi Briyani (Per Plate) (Dollar),2016 Mar,5.3
Chicken Rice (Per Plate) (Dollar),2016 Mar,3.2
"Chicken Wing, Chilled (Per Kilogram) (Dollar)",2016 Mar,8.1
Chinese Kale (Kailan) (Per Kilogram) (Dollar),2016 Mar,6
Cigarettes (Per Pack) (Dollar),2016 Mar,12
Cod Fish (Per Kilogram) (Dollar),2016 Mar,55.4
Coffee/Tea With Milk (Per Cup) (Dollar),2016 Mar,1.1
Coffee/Tea Without Milk (Per Cup) (Dollar),2016 Mar,1
Cooking Oil (Per 2 Kilogram) (Dollar),2016 Mar,6.4
Diesel (Per Litre) (Dollar),2016 Mar,1
"Duck, Chilled (Per Kilogram) (Dollar)",2016 Mar,6.9
Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),2016 Mar,3.2
Fishball Noodle (Per Bowl) (Dollar),2016 Mar,3.3
Flowery Grouper (Per Kilogram) (Dollar),2016 Mar,14.2
Fresh Milk (Per Litre) (Dollar),2016 Mar,2.8
Fried Carrot Cake (Per Plate) (Dollar),2016 Mar,2.9
Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),2016 Mar,7.2
Golden Snapper (Per Kilogram) (Dollar),2016 Mar,17.7
Grapes (Per Kilogram) (Dollar),2016 Mar,9.4
Hen Eggs (Per 10) (Dollar),2016 Mar,2.2
Ice Kachang (Per Bowl) (Dollar),2016 Mar,1.9
Infant Milk Powder (Per 100 Gram) (Dollar),2016 Mar,6.2
Instant Coffee (Per 200 Gram) (Dollar),2016 Mar,10.4
Instant Noodles (Per 5 Packets) (Dollar),2016 Mar,2.3
"Lean Pork, Chilled (Per Kilogram) (Dollar)",2016 Mar,13.8
"Lean Pork, Frozen (Per 500 Gram) (Dollar)",2016 Mar,3.9
Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar),2016 Mar,2.3
Medium Prawns (Per Kilogram) (Dollar),2016 Mar,18.1
Mee Rebus (Per Bowl) (Dollar),2016 Mar,3.1
"Mutton, Chilled (Per Kilogram) (Dollar)",2016 Mar,18.3
Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),2016 Mar,2.5
Orange (Each) (Dollar),2016 Mar,0.4
Ordinary White Bread (Per 400 Gram) (Dollar),2016 Mar,1.6
Papaya (Per Kilogram) (Dollar),2016 Mar,1.8
Pear (Each) (Dollar),2016 Mar,1
"Petrol, 92 Octane (Per Litre) (Dollar)",2016 Mar,1.7
"Petrol, 95 Octane (Per Litre) (Dollar)",2016 Mar,1.8
"Petrol, 98 Octane (Per Litre) (Dollar)",2016 Mar,2.1
"Pork Rib Bones, Chilled (Per Kilogram) (Dollar)",2016 Mar,17.2
"Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)",2016 Mar,4.5
Potatoes (Per Kilogram) (Dollar),2016 Mar,2
Premium Thai Rice (Per 5 Kilogram) (Dollar),2016 Mar,13.3
Roti Prata (Plain) (Per Piece) (Dollar),2016 Mar,1
Salmon (Per Kilogram) (Dollar),2016 Mar,27.6
Sea Bass (Per Kilogram) (Dollar),2016 Mar,12.6
Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),2016 Mar,8.7
Small Mustard (Chye Sim) (Per Kilogram) (Dollar),2016 Mar,3.1
Small Prawns (Per Kilogram) (Dollar),2016 Mar,13.2
Spanish Mackerel (Batang) (Per Kilogram) (Dollar),2016 Mar,11.4
Spinach (Bayam) (Per Kilogram) (Dollar),2016 Mar,2.8
Squids (Per Kilogram) (Dollar),2016 Mar,14.2
"Streaky Pork, Chilled (Per Kilogram) (Dollar)",2016 Mar,15.7
Threadfin (Kurau) (Per Kilogram) (Dollar),2016 Mar,54.2
Tomatoes (Per Kilogram) (Dollar),2016 Mar,2.2
Vitamin Enriched Bread (Per 400 Gram) (Dollar),2016 Mar,1.9
Watermelon (Per Kilogram) (Dollar),2016 Mar,1.4
White Pomfret (Per Kilogram) (Dollar),2016 Mar,26.8
White Sugar (Per 2 Kilogram) (Dollar),2016 Mar,3.2
"Whole Chicken, Chilled (Per Kilogram) (Dollar)",2016 Mar,6.3
Wholemeal Bread (Per 400 Gram) (Dollar),2016 Mar,2
Aerated Soft Drinks (Per 4 Cans) (Dollar),2016 Feb,2.6
Apple (Each) (Dollar),2016 Feb,0.4
Bananas (Per Kilogram) (Dollar),2016 Feb,2.3
"Beef, Chilled (Per Kilogram) (Dollar)",2016 Feb,24
Beer (Per 6 Cans) (Dollar),2016 Feb,17.5
Broccoli (Per Kilogram) (Dollar),2016 Feb,6.1
Cabbage (Per Kilogram) (Dollar),2016 Feb,2.3
Carrots (Per Kilogram) (Dollar),2016 Feb,2.1
Cheese (Per 12 Slices) (Dollar),2016 Feb,4.7
Chicken Nasi Briyani (Per Plate) (Dollar),2016 Feb,5.2
Chicken Rice (Per Plate) (Dollar),2016 Feb,3.2
"Chicken Wing, Chilled (Per Kilogram) (Dollar)",2016 Feb,8.1
Chinese Kale (Kailan) (Per Kilogram) (Dollar),2016 Feb,6.2
Cigarettes (Per Pack) (Dollar),2016 Feb,12
Cod Fish (Per Kilogram) (Dollar),2016 Feb,55.9
Coffee/Tea With Milk (Per Cup) (Dollar),2016 Feb,1.1
Coffee/Tea Without Milk (Per Cup) (Dollar),2016 Feb,1
Cooking Oil (Per 2 Kilogram) (Dollar),2016 Feb,6.4
Diesel (Per Litre) (Dollar),2016 Feb,0.9
"Duck, Chilled (Per Kilogram) (Dollar)",2016 Feb,7
Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),2016 Feb,3.2
Fishball Noodle (Per Bowl) (Dollar),2016 Feb,3.2
Flowery Grouper (Per Kilogram) (Dollar),2016 Feb,15.6
Fresh Milk (Per Litre) (Dollar),2016 Feb,2.9
Fried Carrot Cake (Per Plate) (Dollar),2016 Feb,2.9
Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),2016 Feb,7.3
Golden Snapper (Per Kilogram) (Dollar),2016 Feb,20.9
Grapes (Per Kilogram) (Dollar),2016 Feb,9.2
Hen Eggs (Per 10) (Dollar),2016 Feb,2.1
Ice Kachang (Per Bowl) (Dollar),2016 Feb,1.9
Infant Milk Powder (Per 100 Gram) (Dollar),2016 Feb,6.1
Instant Coffee (Per 200 Gram) (Dollar),2016 Feb,10.1
Instant Noodles (Per 5 Packets) (Dollar),2016 Feb,2.2
"Lean Pork, Chilled (Per Kilogram) (Dollar)",2016 Feb,14.2
"Lean Pork, Frozen (Per 500 Gram) (Dollar)",2016 Feb,3.9
Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar),2016 Feb,2.3
Medium Prawns (Per Kilogram) (Dollar),2016 Feb,20.5
Mee Rebus (Per Bowl) (Dollar),2016 Feb,3.1
"Mutton, Chilled (Per Kilogram) (Dollar)",2016 Feb,18.3
Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),2016 Feb,2.3
Orange (Each) (Dollar),2016 Feb,0.4
Ordinary White Bread (Per 400 Gram) (Dollar),2016 Feb,1.6
Papaya (Per Kilogram) (Dollar),2016 Feb,1.9
Pear (Each) (Dollar),2016 Feb,1
"Petrol, 92 Octane (Per Litre) (Dollar)",2016 Feb,1.7
"Petrol, 95 Octane (Per Litre) (Dollar)",2016 Feb,1.7
"Petrol, 98 Octane (Per Litre) (Dollar)",2016 Feb,2.1
"Pork Rib Bones, Chilled (Per Kilogram) (Dollar)",2016 Feb,17.4
"Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)",2016 Feb,4.8
Potatoes (Per Kilogram) (Dollar),2016 Feb,2
Premium Thai Rice (Per 5 Kilogram) (Dollar),2016 Feb,12.8
Roti Prata (Plain) (Per Piece) (Dollar),2016 Feb,1
Salmon (Per Kilogram) (Dollar),2016 Feb,27.7
Sea Bass (Per Kilogram) (Dollar),2016 Feb,13.6
Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),2016 Feb,9
Small Mustard (Chye Sim) (Per Kilogram) (Dollar),2016 Feb,3.4
Small Prawns (Per Kilogram) (Dollar),2016 Feb,13.9
Spanish Mackerel (Batang) (Per Kilogram) (Dollar),2016 Feb,11.6
Spinach (Bayam) (Per Kilogram) (Dollar),2016 Feb,2.9
Squids (Per Kilogram) (Dollar),2016 Feb,14.7
"Streaky Pork, Chilled (Per Kilogram) (Dollar)",2016 Feb,16.1
Threadfin (Kurau) (Per Kilogram) (Dollar),2016 Feb,59.7
Tomatoes (Per Kilogram) (Dollar),2016 Feb,2.2
Vitamin Enriched Bread (Per 400 Gram) (Dollar),2016 Feb,1.9
Watermelon (Per Kilogram) (Dollar),2016 Feb,1.4
White Pomfret (Per Kilogram) (Dollar),2016 Feb,29
White Sugar (Per 2 Kilogram) (Dollar),2016 Feb,3.1
"Whole Chicken, Chilled (Per Kilogram) (Dollar)",2016 Feb,6.3
Wholemeal Bread (Per 400 Gram) (Dollar),2016 Feb,2
Aerated Soft Drinks (Per 4 Cans) (Dollar),2016 Jan,2.6
Apple (Each) (Dollar),2016 Jan,0.4
Bananas (Per Kilogram) (Dollar),2016 Jan,2.3
"Beef, Chilled (Per Kilogram) (Dollar)",2016 Jan,24
Beer (Per 6 Cans) (Dollar),2016 Jan,17.5
Broccoli (Per Kilogram) (Dollar),2016 Jan,6.3
Cabbage (Per Kilogram) (Dollar),2016 Jan,2.1
Carrots (Per Kilogram) (Dollar),2016 Jan,2.1
Cheese (Per 12 Slices) (Dollar),2016 Jan,4.7
Chicken Nasi Briyani (Per Plate) (Dollar),2016 Jan,5.2
Chicken Rice (Per Plate) (Dollar),2016 Jan,3.2
"Chicken Wing, Chilled (Per Kilogram) (Dollar)",2016 Jan,8
Chinese Kale (Kailan) (Per Kilogram) (Dollar),2016 Jan,5.5
Cigarettes (Per Pack) (Dollar),2016 Jan,12
Cod Fish (Per Kilogram) (Dollar),2016 Jan,56.5
Coffee/Tea With Milk (Per Cup) (Dollar),2016 Jan,1.1
Coffee/Tea Without Milk (Per Cup) (Dollar),2016 Jan,1
Cooking Oil (Per 2 Kilogram) (Dollar),2016 Jan,6.3
Diesel (Per Litre) (Dollar),2016 Jan,1
"Duck, Chilled (Per Kilogram) (Dollar)",2016 Jan,6.9
Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),2016 Jan,3.2
Fishball Noodle (Per Bowl) (Dollar),2016 Jan,3.2
Flowery Grouper (Per Kilogram) (Dollar),2016 Jan,15.1
Fresh Milk (Per Litre) (Dollar),2016 Jan,2.8
Fried Carrot Cake (Per Plate) (Dollar),2016 Jan,2.9
Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),2016 Jan,7.2
Golden Snapper (Per Kilogram) (Dollar),2016 Jan,21.3
Grapes (Per Kilogram) (Dollar),2016 Jan,9.2
Hen Eggs (Per 10) (Dollar),2016 Jan,2.1
Ice Kachang (Per Bowl) (Dollar),2016 Jan,1.9
Infant Milk Powder (Per 100 Gram) (Dollar),2016 Jan,6.1
Instant Coffee (Per 200 Gram) (Dollar),2016 Jan,10.3
Instant Noodles (Per 5 Packets) (Dollar),2016 Jan,2.2
"Lean Pork, Chilled (Per Kilogram) (Dollar)",2016 Jan,13.8
"Lean Pork, Frozen (Per 500 Gram) (Dollar)",2016 Jan,4.1
Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar),2016 Jan,2.4
Medium Prawns (Per Kilogram) (Dollar),2016 Jan,20.2
Mee Rebus (Per Bowl) (Dollar),2016 Jan,3.1
"Mutton, Chilled (Per Kilogram) (Dollar)",2016 Jan,18.3
Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),2016 Jan,2.4
Orange (Each) (Dollar),2016 Jan,0.4
Ordinary White Bread (Per 400 Gram) (Dollar),2016 Jan,1.6
Papaya (Per Kilogram) (Dollar),2016 Jan,1.9
Pear (Each) (Dollar),2016 Jan,1
"Petrol, 92 Octane (Per Litre) (Dollar)",2016 Jan,1.7
"Petrol, 95 Octane (Per Litre) (Dollar)",2016 Jan,1.8
"Petrol, 98 Octane (Per Litre) (Dollar)",2016 Jan,2.2
"Pork Rib Bones, Chilled (Per Kilogram) (Dollar)",2016 Jan,17.3
"Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)",2016 Jan,4.7
Potatoes (Per Kilogram) (Dollar),2016 Jan,2.1
Premium Thai Rice (Per 5 Kilogram) (Dollar),2016 Jan,13.2
Roti Prata (Plain) (Per Piece) (Dollar),2016 Jan,1
Salmon (Per Kilogram) (Dollar),2016 Jan,27.7
Sea Bass (Per Kilogram) (Dollar),2016 Jan,12.1
Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),2016 Jan,9
Small Mustard (Chye Sim) (Per Kilogram) (Dollar),2016 Jan,3.3
Small Prawns (Per Kilogram) (Dollar),2016 Jan,14
Spanish Mackerel (Batang) (Per Kilogram) (Dollar),2016 Jan,11.6
Spinach (Bayam) (Per Kilogram) (Dollar),2016 Jan,2.9
Squids (Per Kilogram) (Dollar),2016 Jan,14.2
"Streaky Pork, Chilled (Per Kilogram) (Dollar)",2016 Jan,15.7
Threadfin (Kurau) (Per Kilogram) (Dollar),2016 Jan,59.9
Tomatoes (Per Kilogram) (Dollar),2016 Jan,2.3
Vitamin Enriched Bread (Per 400 Gram) (Dollar),2016 Jan,1.9
Watermelon (Per Kilogram) (Dollar),2016 Jan,1.5
White Pomfret (Per Kilogram) (Dollar),2016 Jan,30.5
White Sugar (Per 2 Kilogram) (Dollar),2016 Jan,3
"Whole Chicken, Chilled (Per Kilogram) (Dollar)",2016 Jan,6.4
Wholemeal Bread (Per 400 Gram) (Dollar),2016 Jan,2
Aerated Soft Drinks (Per 4 Cans) (Dollar),2015 Dec,2.6
Apple (Each) (Dollar),2015 Dec,0.4
Bananas (Per Kilogram) (Dollar),2015 Dec,2.3
"Beef, Chilled (Per Kilogram) (Dollar)",2015 Dec,24
Beer (Per 6 Cans) (Dollar),2015 Dec,17.5
Broccoli (Per Kilogram) (Dollar),2015 Dec,5.8
Cabbage (Per Kilogram) (Dollar),2015 Dec,2.1
Carrots (Per Kilogram) (Dollar),2015 Dec,2.1
Cheese (Per 12 Slices) (Dollar),2015 Dec,4.8
Chicken Nasi Briyani (Per Plate) (Dollar),2015 Dec,5.2
Chicken Rice (Per Plate) (Dollar),2015 Dec,3.2
"Chicken Wing, Chilled (Per Kilogram) (Dollar)",2015 Dec,7.8
Chinese Kale (Kailan) (Per Kilogram) (Dollar),2015 Dec,5.3
Cigarettes (Per Pack) (Dollar),2015 Dec,12
Cod Fish (Per Kilogram) (Dollar),2015 Dec,55.1
Coffee/Tea With Milk (Per Cup) (Dollar),2015 Dec,1.1
Coffee/Tea Without Milk (Per Cup) (Dollar),2015 Dec,1
Cooking Oil (Per 2 Kilogram) (Dollar),2015 Dec,6
Diesel (Per Litre) (Dollar),2015 Dec,1.1
"Duck, Chilled (Per Kilogram) (Dollar)",2015 Dec,6.9
Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),2015 Dec,3.2
Fishball Noodle (Per Bowl) (Dollar),2015 Dec,3.2
Flowery Grouper (Per Kilogram) (Dollar),2015 Dec,13.2
Fresh Milk (Per Litre) (Dollar),2015 Dec,2.9
Fried Carrot Cake (Per Plate) (Dollar),2015 Dec,2.9
Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),2015 Dec,6.7
Golden Snapper (Per Kilogram) (Dollar),2015 Dec,18.1
Grapes (Per Kilogram) (Dollar),2015 Dec,9.4
Hen Eggs (Per 10) (Dollar),2015 Dec,2.2
Ice Kachang (Per Bowl) (Dollar),2015 Dec,1.9
Infant Milk Powder (Per 100 Gram) (Dollar),2015 Dec,6.1
Instant Coffee (Per 200 Gram) (Dollar),2015 Dec,10.1
Instant Noodles (Per 5 Packets) (Dollar),2015 Dec,2.3
"Lean Pork, Chilled (Per Kilogram) (Dollar)",2015 Dec,13.5
"Lean Pork, Frozen (Per 500 Gram) (Dollar)",2015 Dec,4.1
Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar),2015 Dec,2.4
Medium Prawns (Per Kilogram) (Dollar),2015 Dec,18.3
Mee Rebus (Per Bowl) (Dollar),2015 Dec,3
"Mutton, Chilled (Per Kilogram) (Dollar)",2015 Dec,18.3
Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),2015 Dec,2.5
Orange (Each) (Dollar),2015 Dec,0.4
Ordinary White Bread (Per 400 Gram) (Dollar),2015 Dec,1.6
Papaya (Per Kilogram) (Dollar),2015 Dec,1.9
Pear (Each) (Dollar),2015 Dec,1
"Petrol, 92 Octane (Per Litre) (Dollar)",2015 Dec,1.8
"Petrol, 95 Octane (Per Litre) (Dollar)",2015 Dec,1.9
"Petrol, 98 Octane (Per Litre) (Dollar)",2015 Dec,2.2
"Pork Rib Bones, Chilled (Per Kilogram) (Dollar)",2015 Dec,17
"Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)",2015 Dec,4.8
Potatoes (Per Kilogram) (Dollar),2015 Dec,2
Premium Thai Rice (Per 5 Kilogram) (Dollar),2015 Dec,13.3
Roti Prata (Plain) (Per Piece) (Dollar),2015 Dec,1
Salmon (Per Kilogram) (Dollar),2015 Dec,26.8
Sea Bass (Per Kilogram) (Dollar),2015 Dec,11.6
Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),2015 Dec,8.7
Small Mustard (Chye Sim) (Per Kilogram) (Dollar),2015 Dec,3.2
Small Prawns (Per Kilogram) (Dollar),2015 Dec,13.5
Spanish Mackerel (Batang) (Per Kilogram) (Dollar),2015 Dec,11.4
Spinach (Bayam) (Per Kilogram) (Dollar),2015 Dec,2.9
Squids (Per Kilogram) (Dollar),2015 Dec,13.3
"Streaky Pork, Chilled (Per Kilogram) (Dollar)",2015 Dec,15.3
Threadfin (Kurau) (Per Kilogram) (Dollar),2015 Dec,52.1
Tomatoes (Per Kilogram) (Dollar),2015 Dec,2.4
Vitamin Enriched Bread (Per 400 Gram) (Dollar),2015 Dec,1.9
Watermelon (Per Kilogram) (Dollar),2015 Dec,1.4
White Pomfret (Per Kilogram) (Dollar),2015 Dec,27.3
White Sugar (Per 2 Kilogram) (Dollar),2015 Dec,3.1
"Whole Chicken, Chilled (Per Kilogram) (Dollar)",2015 Dec,6.1
Wholemeal Bread (Per 400 Gram) (Dollar),2015 Dec,2
Aerated Soft Drinks (Per 4 Cans) (Dollar),2015 Nov,2.6
Apple (Each) (Dollar),2015 Nov,0.4
Bananas (Per Kilogram) (Dollar),2015 Nov,2.2
"Beef, Chilled (Per Kilogram) (Dollar)",2015 Nov,23.7
Beer (Per 6 Cans) (Dollar),2015 Nov,17.3
Broccoli (Per Kilogram) (Dollar),2015 Nov,5.8
Cabbage (Per Kilogram) (Dollar),2015 Nov,2.1
Carrots (Per Kilogram) (Dollar),2015 Nov,2.1
Cheese (Per 12 Slices) (Dollar),2015 Nov,4.7
Chicken Nasi Briyani (Per Plate) (Dollar),2015 Nov,5.2
Chicken Rice (Per Plate) (Dollar),2015 Nov,3.2
"Chicken Wing, Chilled (Per Kilogram) (Dollar)",2015 Nov,7.8
Chinese Kale (Kailan) (Per Kilogram) (Dollar),2015 Nov,5.2
Cigarettes (Per Pack) (Dollar),2015 Nov,12
Cod Fish (Per Kilogram) (Dollar),2015 Nov,53.8
Coffee/Tea With Milk (Per Cup) (Dollar),2015 Nov,1.1
Coffee/Tea Without Milk (Per Cup) (Dollar),2015 Nov,1
Cooking Oil (Per 2 Kilogram) (Dollar),2015 Nov,6.1
Diesel (Per Litre) (Dollar),2015 Nov,1.1
"Duck, Chilled (Per Kilogram) (Dollar)",2015 Nov,6.9
Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),2015 Nov,3.2
Fishball Noodle (Per Bowl) (Dollar),2015 Nov,3.2
Flowery Grouper (Per Kilogram) (Dollar),2015 Nov,13.4
Fresh Milk (Per Litre) (Dollar),2015 Nov,2.8
Fried Carrot Cake (Per Plate) (Dollar),2015 Nov,2.9
Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),2015 Nov,6.8
Golden Snapper (Per Kilogram) (Dollar),2015 Nov,18.1
Grapes (Per Kilogram) (Dollar),2015 Nov,9.1
Hen Eggs (Per 10) (Dollar),2015 Nov,2.2
Ice Kachang (Per Bowl) (Dollar),2015 Nov,1.9
Infant Milk Powder (Per 100 Gram) (Dollar),2015 Nov,6.1
Instant Coffee (Per 200 Gram) (Dollar),2015 Nov,10.3
Instant Noodles (Per 5 Packets) (Dollar),2015 Nov,2.3
"Lean Pork, Chilled (Per Kilogram) (Dollar)",2015 Nov,13.6
"Lean Pork, Frozen (Per 500 Gram) (Dollar)",2015 Nov,4.3
Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar),2015 Nov,2.3
Medium Prawns (Per Kilogram) (Dollar),2015 Nov,18.1
Mee Rebus (Per Bowl) (Dollar),2015 Nov,3
"Mutton, Chilled (Per Kilogram) (Dollar)",2015 Nov,18.3
Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),2015 Nov,2.4
Orange (Each) (Dollar),2015 Nov,0.4
Ordinary White Bread (Per 400 Gram) (Dollar),2015 Nov,1.6
Papaya (Per Kilogram) (Dollar),2015 Nov,1.9
Pear (Each) (Dollar),2015 Nov,1
"Petrol, 92 Octane (Per Litre) (Dollar)",2015 Nov,1.9
"Petrol, 95 Octane (Per Litre) (Dollar)",2015 Nov,1.9
"Petrol, 98 Octane (Per Litre) (Dollar)",2015 Nov,2.3
"Pork Rib Bones, Chilled (Per Kilogram) (Dollar)",2015 Nov,16.9
"Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)",2015 Nov,5.2
Potatoes (Per Kilogram) (Dollar),2015 Nov,2
Premium Thai Rice (Per 5 Kilogram) (Dollar),2015 Nov,13.3
Roti Prata (Plain) (Per Piece) (Dollar),2015 Nov,1
Salmon (Per Kilogram) (Dollar),2015 Nov,26.7
Sea Bass (Per Kilogram) (Dollar),2015 Nov,11.6
Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),2015 Nov,8.5
Small Mustard (Chye Sim) (Per Kilogram) (Dollar),2015 Nov,3.1
Small Prawns (Per Kilogram) (Dollar),2015 Nov,12.9
