Consumer Items,Date,Values
Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar),2022 Sep,2.8
Medium Prawns (Per Kilogram) (Dollar),2022 Sep,19.4
Mee Rebus (Per Bowl) (Dollar),2022 Sep,3.6
"Mutton, Chilled (Per Kilogram) (Dollar)",2022 Sep,26.6
Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),2022 Sep,3
Orange (Each) (Dollar),2022 Sep,0.7
Ordinary White Bread (Per 400 Gram) (Dollar),2022 Sep,1.9
Papaya (Per Kilogram) (Dollar),2022 Sep,2.4
Pear (Each) (Dollar),2022 Sep,1.3
"Petrol, 92 Octane (Per Litre) (Dollar)",2022 Sep,2.6
"Petrol, 95 Octane (Per Litre) (Dollar)",2022 Sep,2.7
"Petrol, 98 Octane (Per Litre) (Dollar)",2022 Sep,3.2
"Pork Rib Bones, Chilled (Per Kilogram) (Dollar)",2022 Sep,20.4
"Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)",2022 Sep,6.1
Potatoes (Per Kilogram) (Dollar),2022 Sep,2.7
Premium Thai Rice (Per 5 Kilogram) (Dollar),2022 Sep,13
Roti Prata (Plain) (Per Piece) (Dollar),2022 Sep,1.2
Salmon (Per Kilogram) (Dollar),2022 Sep,33.7
Sea Bass (Per Kilogram) (Dollar),2022 Sep,13.4
Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),2022 Sep,12.2
Small Mustard (Chye Sim) (Per Kilogram) (Dollar),2022 Sep,4.5
Small Prawns (Per Kilogram) (Dollar),2022 Sep,14.4
Spanish Mackerel (Batang) (Per Kilogram) (Dollar),2022 Sep,12.7
Spinach (Bayam) (Per Kilogram) (Dollar),2022 Sep,4.4
Squids (Per Kilogram) (Dollar),2022 Sep,20.5
"Streaky Pork, Chilled (Per Kilogram) (Dollar)",2022 Sep,19.1
Threadfin (Kurau) (Per Kilogram) (Dollar),2022 Sep,54.8
Tomatoes (Per Kilogram) (Dollar),2022 Sep,2.7
Vitamin Enriched Bread (Per 400 Gram) (Dollar),2022 Sep,1.7
Watermelon (Per Kilogram) (Dollar),2022 Sep,1.7
White Pomfret (Per Kilogram) (Dollar),2022 Sep,30.5
White Sugar (Per 2 Kilogram) (Dollar),2022 Sep,3.1
"Whole Chicken, Chilled (Per Kilogram) (Dollar)",2022 Sep,8.6
Wholemeal Bread (Per 400 Gram) (Dollar),2022 Sep,2.2
Aerated Soft Drinks (Per 4 Cans) (Dollar),2022 Aug,3.1
Apple (Each) (Dollar),2022 Aug,0.5
Bananas (Per Kilogram) (Dollar),2022 Aug,2.5
"Beef, Chilled (Per Kilogram) (Dollar)",2022 Aug,28.5
Beer (Per 6 Cans) (Dollar),2022 Aug,15.9
Broccoli (Per Kilogram) (Dollar),2022 Aug,7.4
Cabbage (Per Kilogram) (Dollar),2022 Aug,3
Carrots (Per Kilogram) (Dollar),2022 Aug,2
Cheese (Per 12 Slices) (Dollar),2022 Aug,5.9
Chicken Nasi Briyani (Per Plate) (Dollar),2022 Aug,6.3
Chicken Rice (Per Plate) (Dollar),2022 Aug,4
"Chicken Wing, Chilled (Per Kilogram) (Dollar)",2022 Aug,11.4
Chinese Kale (Kailan) (Per Kilogram) (Dollar),2022 Aug,5.4
Cigarettes (Per Pack) (Dollar),2022 Aug,13.3
Cod Fish (Per Kilogram) (Dollar),2022 Aug,65.9
Coffee/Tea With Milk (Per Cup) (Dollar),2022 Aug,1.3
Coffee/Tea Without Milk (Per Cup) (Dollar),2022 Aug,1.2
Cooking Oil (Per 2 Kilogram) (Dollar),2022 Aug,7
Diesel (Per Litre) (Dollar),2022 Aug,2.6
"Duck, Chilled (Per Kilogram) (Dollar)",2022 Aug,8.4
Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),2022 Aug,3.7
Fishball Noodle (Per Bowl) (Dollar),2022 Aug,3.8
Flowery Grouper (Per Kilogram) (Dollar),2022 Aug,15
Fresh Milk (Per Litre) (Dollar),2022 Aug,3.4
Fried Carrot Cake (Per Plate) (Dollar),2022 Aug,3.4
Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),2022 Aug,9.8
Golden Snapper (Per Kilogram) (Dollar),2022 Aug,20.4
Grapes (Per Kilogram) (Dollar),2022 Aug,15.7
Hen Eggs (Per 10) (Dollar),2022 Aug,3.1
Ice Kachang (Per Bowl) (Dollar),2022 Aug,2.3
Infant Milk Powder (Per 100 Gram) (Dollar),2022 Aug,6.3
Instant Coffee (Per 200 Gram) (Dollar),2022 Aug,10.6
Instant Noodles (Per 5 Packets) (Dollar),2022 Aug,2.4
"Lean Pork, Chilled (Per Kilogram) (Dollar)",2022 Aug,16.6
"Lean Pork, Frozen (Per 500 Gram) (Dollar)",2022 Aug,4.9
Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar),2022 Aug,2.8
Medium Prawns (Per Kilogram) (Dollar),2022 Aug,18.3
Mee Rebus (Per Bowl) (Dollar),2022 Aug,3.6
"Mutton, Chilled (Per Kilogram) (Dollar)",2022 Aug,25.9
Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),2022 Aug,3
Orange (Each) (Dollar),2022 Aug,0.7
Ordinary White Bread (Per 400 Gram) (Dollar),2022 Aug,1.9
Papaya (Per Kilogram) (Dollar),2022 Aug,2.4
Pear (Each) (Dollar),2022 Aug,1.2
"Petrol, 92 Octane (Per Litre) (Dollar)",2022 Aug,2.7
"Petrol, 95 Octane (Per Litre) (Dollar)",2022 Aug,2.7
"Petrol, 98 Octane (Per Litre) (Dollar)",2022 Aug,3.2
"Pork Rib Bones, Chilled (Per Kilogram) (Dollar)",2022 Aug,19.4
"Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)",2022 Aug,6.1
Potatoes (Per Kilogram) (Dollar),2022 Aug,2.7
Premium Thai Rice (Per 5 Kilogram) (Dollar),2022 Aug,13.3
Roti Prata (Plain) (Per Piece) (Dollar),2022 Aug,1.2
Salmon (Per Kilogram) (Dollar),2022 Aug,35.5
Sea Bass (Per Kilogram) (Dollar),2022 Aug,13.7
Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),2022 Aug,12.4
Small Mustard (Chye Sim) (Per Kilogram) (Dollar),2022 Aug,4.4
Small Prawns (Per Kilogram) (Dollar),2022 Aug,13.1
Spanish Mackerel (Batang) (Per Kilogram) (Dollar),2022 Aug,12.9
Spinach (Bayam) (Per Kilogram) (Dollar),2022 Aug,4.4
Squids (Per Kilogram) (Dollar),2022 Aug,17.9
"Streaky Pork, Chilled (Per Kilogram) (Dollar)",2022 Aug,19
Threadfin (Kurau) (Per Kilogram) (Dollar),2022 Aug,57.3
Tomatoes (Per Kilogram) (Dollar),2022 Aug,2.8
Vitamin Enriched Bread (Per 400 Gram) (Dollar),2022 Aug,1.7
Watermelon (Per Kilogram) (Dollar),2022 Aug,1.7
White Pomfret (Per Kilogram) (Dollar),2022 Aug,31.3
White Sugar (Per 2 Kilogram) (Dollar),2022 Aug,3.1
"Whole Chicken, Chilled (Per Kilogram) (Dollar)",2022 Aug,8.6
Wholemeal Bread (Per 400 Gram) (Dollar),2022 Aug,2.2
Aerated Soft Drinks (Per 4 Cans) (Dollar),2022 Jul,3.1
Apple (Each) (Dollar),2022 Jul,0.5
Bananas (Per Kilogram) (Dollar),2022 Jul,2.5
"Beef, Chilled (Per Kilogram) (Dollar)",2022 Jul,28.7
Beer (Per 6 Cans) (Dollar),2022 Jul,16
Broccoli (Per Kilogram) (Dollar),2022 Jul,7.4
Cabbage (Per Kilogram) (Dollar),2022 Jul,2.9
Carrots (Per Kilogram) (Dollar),2022 Jul,2.1
Cheese (Per 12 Slices) (Dollar),2022 Jul,6
Chicken Nasi Briyani (Per Plate) (Dollar),2022 Jul,6.3
Chicken Rice (Per Plate) (Dollar),2022 Jul,3.9
"Chicken Wing, Chilled (Per Kilogram) (Dollar)",2022 Jul,11.3
Chinese Kale (Kailan) (Per Kilogram) (Dollar),2022 Jul,5.3
Cigarettes (Per Pack) (Dollar),2022 Jul,13.3
Cod Fish (Per Kilogram) (Dollar),2022 Jul,65.8
Coffee/Tea With Milk (Per Cup) (Dollar),2022 Jul,1.3
Coffee/Tea Without Milk (Per Cup) (Dollar),2022 Jul,1.2
Cooking Oil (Per 2 Kilogram) (Dollar),2022 Jul,7
Diesel (Per Litre) (Dollar),2022 Jul,2.7
"Duck, Chilled (Per Kilogram) (Dollar)",2022 Jul,8.1
Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),2022 Jul,3.6
Fishball Noodle (Per Bowl) (Dollar),2022 Jul,3.8
Flowery Grouper (Per Kilogram) (Dollar),2022 Jul,15.4
Fresh Milk (Per Litre) (Dollar),2022 Jul,3.4
Fried Carrot Cake (Per Plate) (Dollar),2022 Jul,3.4
Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),2022 Jul,9.7
Golden Snapper (Per Kilogram) (Dollar),2022 Jul,19.3
Grapes (Per Kilogram) (Dollar),2022 Jul,13.9
Hen Eggs (Per 10) (Dollar),2022 Jul,3.1
Ice Kachang (Per Bowl) (Dollar),2022 Jul,2.3
Infant Milk Powder (Per 100 Gram) (Dollar),2022 Jul,6.3
Instant Coffee (Per 200 Gram) (Dollar),2022 Jul,10.4
Instant Noodles (Per 5 Packets) (Dollar),2022 Jul,2.6
"Lean Pork, Chilled (Per Kilogram) (Dollar)",2022 Jul,15.6
"Lean Pork, Frozen (Per 500 Gram) (Dollar)",2022 Jul,4.9
Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar),2022 Jul,2.9
Medium Prawns (Per Kilogram) (Dollar),2022 Jul,19.4
Mee Rebus (Per Bowl) (Dollar),2022 Jul,3.6
"Mutton, Chilled (Per Kilogram) (Dollar)",2022 Jul,25.6
Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),2022 Jul,3
Orange (Each) (Dollar),2022 Jul,0.7
Ordinary White Bread (Per 400 Gram) (Dollar),2022 Jul,1.9
Papaya (Per Kilogram) (Dollar),2022 Jul,2.4
Pear (Each) (Dollar),2022 Jul,1.2
"Petrol, 92 Octane (Per Litre) (Dollar)",2022 Jul,2.9
"Petrol, 95 Octane (Per Litre) (Dollar)",2022 Jul,2.9
"Petrol, 98 Octane (Per Litre) (Dollar)",2022 Jul,3.4
"Pork Rib Bones, Chilled (Per Kilogram) (Dollar)",2022 Jul,19.3
"Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)",2022 Jul,6.1
Potatoes (Per Kilogram) (Dollar),2022 Jul,2.6
Premium Thai Rice (Per 5 Kilogram) (Dollar),2022 Jul,13.4
Roti Prata (Plain) (Per Piece) (Dollar),2022 Jul,1.2
Salmon (Per Kilogram) (Dollar),2022 Jul,37.2
Sea Bass (Per Kilogram) (Dollar),2022 Jul,13.1
Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),2022 Jul,12.2
Small Mustard (Chye Sim) (Per Kilogram) (Dollar),2022 Jul,4.3
Small Prawns (Per Kilogram) (Dollar),2022 Jul,14.7
Spanish Mackerel (Batang) (Per Kilogram) (Dollar),2022 Jul,12.7
Spinach (Bayam) (Per Kilogram) (Dollar),2022 Jul,4.3
